F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.4764560,0.1484596,0.3873178,0.3453199,-0.1873346,0.1884880,-0.3133507,1.5897788,0.9925884,-1.6091778,0.7122275,-1.1621003,-0.0837251,0.2102035,0.0031960,0.2648541,-0.0433767,-0.5761619,-0.2374056,0.1308852,-0.2633968
0.7949623,-0.3959803,0.6245521,0.6243522,-0.1083756,0.4657370,-0.2100396,1.2722197,0.4675281,-2.1461933,0.7031850,-0.8338239,-0.1190055,0.1216312,-0.2623287,-0.0117126,-0.2957747,-0.7326273,-0.3208429,-0.4243662,-0.4426564
0.6024424,-0.5985426,0.5556583,0.2591812,0.4042700,0.6988360,-0.4670947,1.3053569,0.2250069,-2.0523734,0.4754185,-0.9141965,0.0491114,0.0382015,-0.7164379,0.0021826,-0.3347060,-0.6737981,-0.2565226,-0.7571834,-0.6061765
0.2142546,-0.0044578,0.9659243,-0.0815511,0.3198119,0.4212848,-0.2863243,1.6447616,0.5012580,-2.2748652,0.5157613,-1.6732637,0.1494162,-0.0716702,-0.7669806,-0.2669603,-0.5012136,-0.4020696,-0.4837968,-1.0657327,-0.8956971
-0.2433728,-0.3658794,0.6143826,-0.6928703,0.3584684,0.2458704,-0.6369658,1.3939264,0.1042488,-2.6002057,0.4716812,-1.1557211,-0.2354533,-0.1079081,-1.3178210,-0.5251455,-0.4408573,-0.2434294,-0.7971024,-1.6603354,-0.8956878
-0.4808659,-1.0470159,0.3763470,-0.4612337,-0.5258468,0.4826577,-0.4389421,0.9854406,-0.1612096,-3.1178212,0.4059455,-0.6436921,-0.4138146,-0.1684908,-0.8969668,-0.4864776,-0.3170353,-0.3047182,-0.5741526,-1.3792177,-0.5937622
-0.5441813,-0.7897919,0.1789877,-0.3548394,-0.5866044,0.7819911,-0.3474087,1.0439448,0.1088421,-3.0350780,0.5840604,-0.8855144,0.0793880,-0.3068472,-1.1855071,-0.1270124,-0.0841655,-0.5102993,-0.6984122,-0.9129910,-0.4794104
-0.8114187,-1.2829345,0.5700591,-1.3251348,-0.1527415,0.6326758,-0.7404582,1.0416466,-0.3997160,-2.0651639,0.7162628,-0.8594432,0.1041929,-0.5462981,-1.0964276,0.3343296,0.2617130,-0.4728859,-0.2901133,-0.5252947,-0.3036885
-0.8064122,-1.4510804,1.0200945,-0.8573721,-0.1733665,0.8614140,-0.5553678,0.9650110,-0.1800988,-1.7465690,0.7508379,-0.0255002,0.6963744,0.1353062,-1.0567852,0.5949975,0.5708306,-0.4743436,-0.0568270,-0.0794970,-0.0321357
-0.4516182,-1.0706137,0.2619327,-0.5140337,-0.4687606,1.1338032,-0.3022948,1.1287369,0.1254970,-1.5106319,0.9463495,-0.0636496,0.7116509,0.5258934,-0.5583701,0.7742574,0.7046066,-0.2687622,-0.0319874,-0.2099797,0.1242301
-0.1878260,-1.1177282,0.1211633,-0.4761683,-0.2449472,0.6791134,-0.0261733,1.4006515,0.6479081,-1.2917751,0.9012117,-0.8975827,0.4861596,0.2828307,0.0205655,0.8186967,0.4414391,0.2487532,0.3270366,-0.3331111,0.1450880
0.1954299,-1.2304206,1.2665884,-0.0008264,0.6373612,0.9103971,0.1818590,1.3937268,0.2799052,-0.8556753,0.9260765,-0.3069370,0.8702793,0.5629722,0.2082285,0.6142436,0.9520800,0.5873604,0.3020598,0.0112351,0.6420918
0.6193953,-1.2505101,1.1759833,0.6651984,0.3534167,0.9290867,0.1123238,1.3217982,0.5908664,-0.0122810,1.0292808,0.1973614,0.5640212,0.7685257,1.0647765,1.1947449,0.9678822,0.7689856,0.7751918,0.5769746,0.7470831
1.1300963,-0.5918698,0.9257917,0.6533918,0.1300140,0.6468752,-0.1123133,1.6036673,0.8240486,-0.3661201,1.0007578,-0.3177634,0.3013122,0.4029857,1.7587699,1.1538138,0.5526268,0.4712329,1.4568580,0.4224847,0.2442098
0.9502293,0.4303479,0.5694848,0.2616632,0.1898783,1.1765895,-0.4436184,1.5774466,1.0584112,0.1987381,0.9921317,-0.5001770,0.3813923,0.2260442,1.2032093,1.6209041,1.1583909,0.0174946,0.8687147,0.4019884,0.4627443
0.7596825,-0.4857849,0.5188318,0.3605451,-0.2075037,0.7708310,-0.2697855,1.5926895,0.7681786,-0.2484156,1.0943280,0.2011215,0.6242647,0.2150706,1.0509068,1.3000764,1.1973311,-0.1705068,0.5665123,0.2377721,-0.1661536
0.4079548,-1.4512379,0.1841407,-0.1889120,-0.3535785,0.4029385,-0.6904791,1.5268003,0.1504104,-0.5280029,1.1433414,-0.5408781,0.2650600,-0.0050233,0.0431055,0.7401548,1.0039747,-0.4078546,0.4006150,-0.1409038,-0.5921333
0.2790338,-0.8904433,-0.1037489,-0.3856832,-0.1688207,0.2832198,-0.7761539,1.2799014,0.4391072,-1.5021379,0.9852159,-1.1915550,0.1908177,0.0861627,-0.1179433,0.6432877,0.5958657,-0.3096295,0.1743055,-0.5751495,-0.8784393
-0.4045741,-1.6613383,-0.7089400,-1.3853111,-0.8502971,0.2842592,-1.4441013,1.0059882,0.2949599,-1.5276220,1.1923770,-0.2543364,-0.1252497,-0.3722188,-0.3777275,0.3473896,1.0218797,-0.5450976,0.0297113,-0.2207224,-0.3017328
-0.7856608,-2.5310471,-0.6459885,-1.1342218,-1.1141174,0.4913922,-0.2361630,0.9283560,-0.1160442,-1.3261952,1.1973641,0.0774751,0.1206072,-0.3816984,-0.1151630,0.5012487,0.9724962,0.2741908,0.1969353,0.4466853,-0.0172890
0.0199616,-1.2082720,1.9943668,-0.2823335,-0.2732062,1.2331207,1.1613469,1.2571002,-0.0903389,-1.0509568,1.1427194,-0.3540952,0.7821739,0.6913535,-0.1772360,1.0860432,0.8482463,0.4298228,-0.1047033,0.7152948,0.1012955
0.7922701,-0.3965419,2.2271895,-0.4974207,-0.2591266,1.3791636,0.7579950,1.0918580,0.4241042,-0.6493670,0.9564425,-0.3011635,0.8919708,0.8027632,-0.1939859,0.7735969,0.9851958,0.6935146,-0.1392931,0.6055731,0.1370154
0.3270508,-0.8932128,2.4432766,-1.0555344,-1.3818848,0.8779430,1.1858683,0.9188998,0.3728625,-0.8639538,1.0822122,0.2383721,0.7682143,0.9502521,-0.4930283,0.8527985,1.4493448,0.7893342,-0.2037842,0.4148585,0.2777289
-0.0642566,-1.4414681,2.1120214,-1.2816110,-0.9204934,1.0158651,1.3432361,1.0602677,-0.0427710,-0.5197244,1.1579053,0.0128672,1.1029350,1.4437510,-0.4040212,1.1636823,1.6303889,1.0060023,-0.0579498,0.8173139,0.4418660
-0.0287506,-0.7143617,2.7630124,-1.3679953,-0.5399178,1.7015926,1.6810874,0.8120561,-0.2513990,-0.0891674,1.1166418,0.4267425,1.6421900,1.8216987,-0.5961646,1.0013715,1.5399289,0.9379317,-0.0614937,0.9431643,0.3234230
