F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.1857984,0.7960040,0.5704368,0.1740608,-0.9017066,0.6365835,0.1714218,-1.4361345,-0.2008383,-0.4275558,0.0058495,0.0258997,0.3315010,0.4900634,-0.2016484,-0.4490070,-0.1753912,0.1121502,0.0372802,-0.2142047,-0.4962526
-0.1601338,0.8374039,0.2730310,0.2449518,-0.9531015,0.8470252,0.1822181,-1.4819238,-0.4421811,-0.6144965,-0.1030691,0.1217360,-0.0215313,0.4499716,-0.3595043,-0.3384519,-0.1075623,0.2103681,-0.0097255,-0.3291602,-0.5156688
-0.1513826,0.8718761,0.2046553,0.0609173,-0.7162730,0.9215813,0.0767708,-1.5186236,-0.4546969,-0.9777792,0.3279495,-0.0587801,-0.1075741,0.3743901,-0.5588350,0.1459733,0.1724986,0.2144342,-0.1440579,-0.0822618,-0.3459174
-0.1217241,0.7665497,0.3462499,0.0916776,-0.4078497,0.8806881,0.0802491,-1.6260452,-0.1093426,-0.5472148,0.6521264,0.1446396,0.3799655,0.4527548,-0.1955394,0.6608431,0.3159006,0.3533145,-0.0501651,0.2434926,-0.2423938
-0.2465008,0.6556247,0.4127038,0.1907818,-0.0664759,1.0078732,0.0963322,-1.6372722,-0.2410708,0.0318303,0.8386555,0.6110017,0.3811829,0.4349767,-0.0450848,1.2622113,0.9712002,0.5390841,0.4932514,0.7604555,0.0888574
-0.2242179,0.7310463,0.2971331,0.1880632,-0.1877395,1.6143773,0.3079649,-1.4554379,-0.1733160,0.4666595,1.1570539,0.4214946,0.5799064,0.5943468,0.3985031,1.7116342,1.3069221,1.0046641,0.9904744,1.3065476,0.5388470
-0.0994626,0.9723334,0.3569610,0.3728057,-0.4787021,1.4857397,0.3029541,-1.3867247,0.2075036,0.8761792,1.3012059,0.8720226,0.9338701,0.8449833,0.7461953,1.7222692,1.4161557,1.0563636,1.3080789,1.7690485,0.5792006
-0.0206305,0.9673331,0.5169746,0.6152412,0.0481284,0.8041103,0.3108186,-1.4042534,0.5782288,0.7023283,0.8870837,0.9702649,0.6096810,0.9224575,0.7759702,1.4553950,1.0519619,0.6727157,1.3014480,1.4052290,0.3986619
0.1713060,1.1345720,0.4418432,0.8473305,0.4825581,0.5660162,0.3090824,-1.1665311,1.0008993,0.3804981,0.5553506,0.4974723,0.0049108,0.6036518,0.6864179,1.3476409,0.6538728,0.5407917,1.0975773,0.8358405,0.0421424
0.1053226,1.1269454,0.3591263,0.8173649,0.5107907,0.6085031,-0.1000746,-1.1701915,1.0249856,0.8486992,0.5107199,0.2139809,-0.1007004,0.2942858,0.4880497,0.8519167,0.6305276,0.2806918,0.5831808,0.6034746,-0.1533854
0.0592690,1.0087417,0.1678289,0.7547507,0.0729086,0.4308359,0.0650196,-1.3175192,0.9464881,0.6310579,0.4764289,0.2012692,0.0683260,0.4066355,0.4250970,0.7342710,0.3644007,0.3271405,0.4456828,0.6377706,-0.2141712
-0.0165733,1.0415474,0.4060346,0.6999641,0.2393267,0.5185374,0.3118377,-1.2827051,0.8530606,0.3286014,0.2039421,0.1158320,0.1932499,0.4385500,0.4588045,0.8324422,0.5542232,0.4807596,0.5726246,0.7590859,-0.1968276
0.0600543,0.9488490,0.4582590,0.7266468,0.6468305,0.4220004,0.4709954,-1.1600710,1.0809649,0.1954689,0.4431270,0.2151322,0.1756251,0.4891032,0.5501652,1.0984119,0.6960167,0.8023344,0.7772120,0.7939600,-0.0197773
0.0620708,1.0504324,0.4961720,0.8295754,0.7272305,-0.0076517,0.7340398,-1.0269214,1.2814317,1.0269337,0.5878717,0.4769167,0.5861675,0.7230392,0.8248237,1.3772745,0.6274661,0.9923882,1.0907055,1.0976785,0.2118122
0.0839840,0.9547364,0.5881622,0.8370654,0.4055450,-0.0156303,0.7638062,-0.9086764,1.2663342,1.0278553,0.4417655,0.5548121,0.5910213,0.7594051,0.4790489,1.3733338,0.5842788,1.0463228,1.2034286,0.9325860,0.2403792
0.1106655,1.0634735,0.8175275,0.8997644,0.8724490,0.1886602,0.6524528,-0.8501174,1.1188877,0.7536222,0.1055183,0.2109937,0.3437535,0.7399402,0.4013513,0.9320000,0.2223965,0.7264382,0.8101767,0.5832712,0.0337299
0.1430510,1.2645102,0.6783671,0.7601038,0.8496882,0.3157657,0.7320653,-0.9814458,0.8617001,0.2046478,0.0944855,-0.2107687,0.2104171,0.5979282,0.2717589,0.5982344,-0.2411072,0.6107777,0.6659763,0.4076077,-0.1100556
0.2069386,1.1663023,1.1098987,0.8924691,0.4791308,0.3335736,0.8329413,-1.1527067,0.6781571,0.3610075,-0.2729636,0.0809192,0.2351330,0.7546532,0.3946863,0.5777227,-0.3199018,0.6283185,0.6819351,0.2592522,-0.1144144
0.1374722,1.2691826,0.9991906,1.0170083,0.4253921,0.8264245,0.9126343,-1.0175601,0.6939374,0.3930770,-0.2817349,0.0473671,0.1995782,0.6660488,0.5821539,0.7886373,-0.2106097,0.6392810,0.6238099,0.3950282,-0.0927392
0.2072286,1.2585052,0.9782583,0.8885165,0.3465730,0.6872616,0.6622483,-1.0226002,0.7262132,0.3404711,-0.2074481,-0.0423923,0.3668971,0.6462085,0.3300422,0.6443127,-0.0795636,0.5404183,0.4831294,0.5092525,-0.1158214
0.1422590,1.0272189,0.8423889,0.5546467,0.1544572,0.6202893,0.4863464,-1.3374150,0.2172021,0.1828605,-0.0387732,0.0983596,0.2583569,0.6110020,-0.3155907,0.3334188,0.1039990,0.3918509,-0.0179302,0.3839239,-0.2381417
-0.0282538,0.9107577,0.5872665,0.2401061,-0.3244965,0.5916256,0.4822967,-1.5672272,-0.2086288,-0.4944466,-0.0513275,0.2442944,0.3749688,0.3866291,-0.7127199,-0.0736920,0.0484654,0.3176530,-0.2012369,0.1356039,-0.2054743
-0.1418055,0.8817842,0.3416754,-0.1770341,-0.5612543,1.0679238,0.1876536,-1.6031003,-0.3767683,-0.4904737,0.1161451,-0.0099882,0.3485294,0.2250879,-0.9317745,0.0452100,0.2399651,0.2940587,-0.2744910,0.3872243,-0.2718289
-0.2024741,0.7842610,0.3165627,-0.0937826,-0.5497614,1.1549945,0.1215724,-1.6729147,-0.5158706,-0.7809781,0.0991548,0.0880995,0.2413554,0.2920679,-0.7405232,0.1450765,0.1217308,0.1942486,-0.2772024,0.2251817,-0.3245017
