# F3,F4,T3,T4,C1,C2
-117.423,-171.955,-243.207,-79.612,-100.513,-121.413
-119.893,-169.865,-241.877,-80.562,-97.663,-123.883
-119.133,-168.915,-237.507,-81.702,-94.813,-121.603
-114.953,-171.195,-240.357,-84.552,-97.093,-122.173
-113.433,-169.105,-241.877,-88.923,-96.903,-123.503
-118.563,-167.585,-244.917,-87.402,-95.003,-117.803
-121.603,-168.155,-246.817,-88.352,-98.613,-117.233
-120.463,-170.815,-245.487,-86.072,-102.223,-121.603
-119.133,-167.015,-244.347,-84.172,-97.853,-124.644
-121.223,-168.915,-247.387,-88.923,-96.333,-125.974
-122.933,-169.295,-248.147,-85.312,-95.193,-123.123
-120.843,-168.725,-252.517,-82.272,-99.563,-124.263
-119.133,-168.155,-257.647,-83.222,-95.953,-127.114
-121.983,-171.005,-260.307,-83.032,-94.433,-128.254
-125.214,-173.095,-263.157,-82.842,-95.573,-121.793
-122.743,-168.915,-258.977,-82.652,-93.293,-119.893
-115.333,-165.495,-251.757,-79.232,-93.673,-125.784
-111.153,-165.495,-249.477,-75.812,-92.343,-125.214
-115.333,-169.295,-250.807,-77.332,-88.542,-120.653
-114.953,-162.265,-240.737,-76.762,-88.162,-121.223
-109.823,-165.875,-230.856,-77.522,-87.212,-124.073
-111.153,-168.915,-234.847,-76.192,-88.923,-116.093
-112.293,-165.305,-242.067,-81.132,-90.823,-115.713
-115.333,-161.125,-247.197,-81.512,-93.863,-114.193
-115.713,-167.015,-246.627,-81.512,-93.863,-121.033
-116.663,-167.395,-252.137,-85.122,-95.763,-128.254
-114.193,-171.195,-254.607,-86.832,-98.423,-125.214
-114.573,-173.285,-254.037,-87.972,-95.573,-120.653
-116.093,-174.995,-249.667,-88.542,-92.533,-125.784
-119.323,-178.225,-247.767,-89.873,-91.963,-128.824
-115.903,-174.805,-241.687,-90.253,-91.393,-121.983
-115.903,-174.425,-245.867,-87.592,-94.243,-117.043
-118.753,-176.705,-253.277,-86.642,-96.143,-119.703
-121.603,-179.555,-255.747,-86.452,-97.093,-125.594
-120.463,-175.945,-257.837,-86.262,-96.333,-124.644
-120.083,-177.275,-261.067,-85.502,-93.483,-117.993
-118.183,-175.375,-257.457,-86.072,-98.233,-117.613
-117.233,-176.515,-251.757,-84.172,-95.763,-121.223
-117.993,-178.035,-244.537,-81.702,-88.923,-119.703
-118.943,-176.325,-249.287,-83.032,-90.063,-120.463
-119.703,-178.035,-244.347,-85.502,-87.592,-116.853
-116.663,-178.035,-242.447,-86.262,-88.352,-119.703
-115.903,-179.745,-248.337,-85.312,-90.253,-121.603
-117.043,-175.945,-253.277,-85.692,-91.963,-118.753
-115.333,-171.765,-247.007,-83.412,-92.913,-118.753
-114.193,-169.295,-240.737,-78.662,-93.483,-124.453
-111.723,-165.685,-237.887,-81.892,-91.773,-126.354
-108.493,-165.495,-235.607,-80.182,-91.963,-126.544
-106.403,-165.115,-231.426,-74.862,-88.352,-122.553
-108.303,-166.635,-228.196,-74.672,-87.402,-127.304
-107.353,-170.055,-229.336,-77.522,-89.683,-127.304
-109.823,-171.575,-236.557,-79.612,-92.153,-119.893
-112.483,-168.345,-243.397,-78.282,-92.343,-117.423
-110.583,-166.635,-245.297,-81.892,-90.253,-119.513
-111.153,-165.305,-248.527,-82.842,-90.253,-120.273
-113.243,-165.495,-250.237,-80.372,-92.913,-118.183
-111.723,-163.405,-246.057,-79.232,-93.673,-118.183
-108.873,-163.785,-245.297,-80.942,-95.763,-116.093
-111.533,-163.785,-247.387,-78.282,-90.443,-121.033
-117.993,-164.165,-246.057,-76.002,-87.972,-115.903
-120.273,-166.445,-244.727,-74.292,-89.493,-111.153
-115.143,-167.775,-240.547,-76.382,-89.303,-108.683
-113.053,-169.295,-233.137,-77.712,-89.113,-113.623
-114.573,-166.635,-230.096,-72.202,-85.882,-116.093
-116.093,-166.635,-232.947,-71.062,-86.452,-112.673
-113.243,-165.495,-235.987,-71.822,-88.352,-116.853
-114.383,-165.685,-230.666,-72.202,-91.393,-122.363
-109.253,-167.395,-233.517,-75.052,-91.393,-122.933
-106.783,-166.445,-237.507,-79.992,-87.592,-117.613
-105.833,-166.255,-238.647,-81.892,-87.592,-118.373
-108.493,-167.395,-235.987,-83.222,-89.113,-122.933
-110.013,-170.435,-235.037,-83.602,-89.493,-123.313
-108.493,-168.535,-238.647,-82.082,-87.782,-119.133
-109.063,-167.015,-236.747,-78.282,-88.732,-119.893
-113.053,-171.005,-231.807,-80.562,-90.063,-124.453
-113.053,-169.675,-229.716,-83.792,-90.443,-127.684
-116.473,-175.565,-238.457,-85.312,-89.303,-123.123
-122.363,-177.845,-244.917,-90.063,-93.103,-125.404
